last4ccnum,timestamp_purchase,location,car_id,start_time_visit,end_time_visit,geometry
9635,2014-01-08 20:45:00,Albert's Fine Clothing,35,2014-01-08 19:48:19,2014-01-08 21:43:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
7117,2014-01-09 20:21:00,Albert's Fine Clothing,35,2014-01-09 19:35:35,2014-01-09 20:42:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
6895,2014-01-10 20:11:00,Albert's Fine Clothing,35,2014-01-10 20:08:19,2014-01-10 22:24:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
2463,2014-01-12 13:45:00,Desafio Golf Course,35,2014-01-12 12:49:17,2014-01-12 16:22:01,"POLYGON ((24.86064573 36.08951424, 24.86064573 36.08962196, 24.86076496 36.08962196, 24.86076496 36.08951424, 24.86064573 36.08951424))"
7688,2014-01-12 14:13:00,Desafio Golf Course,35,2014-01-12 12:49:17,2014-01-12 16:22:01,"POLYGON ((24.86064573 36.08951424, 24.86064573 36.08962196, 24.86076496 36.08962196, 24.86076496 36.08951424, 24.86064573 36.08951424))"
8332,2014-01-12 14:14:00,Desafio Golf Course,35,2014-01-12 12:49:17,2014-01-12 16:22:01,"POLYGON ((24.86064573 36.08951424, 24.86064573 36.08962196, 24.86076496 36.08962196, 24.86076496 36.08951424, 24.86064573 36.08951424))"
7688,2014-01-13 20:35:00,Albert's Fine Clothing,35,2014-01-13 19:51:01,2014-01-13 20:36:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
3484,2014-01-14 20:05:00,Albert's Fine Clothing,35,2014-01-14 19:12:19,2014-01-14 20:26:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
7819,2014-01-15 19:56:00,General Grocer,35,2014-01-15 19:45:22,2014-01-15 21:58:01,"POLYGON ((24.85648014 36.0603296, 24.85648014 36.06043016, 24.85657552 36.06043016, 24.85657552 36.0603296, 24.85648014 36.0603296))"
7117,2014-01-16 20:08:00,Albert's Fine Clothing,35,2014-01-16 19:13:19,2014-01-16 20:53:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
7819,2014-01-16 20:25:00,Albert's Fine Clothing,35,2014-01-16 19:13:19,2014-01-16 20:53:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
1321,2014-01-17 19:44:00,Albert's Fine Clothing,35,2014-01-17 19:26:19,2014-01-17 21:37:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
8156,2014-01-18 18:59:00,Albert's Fine Clothing,35,2014-01-18 18:25:19,2014-01-18 19:41:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
7688,2014-01-19 12:57:00,Desafio Golf Course,35,2014-01-19 12:41:17,2014-01-19 16:02:01,"POLYGON ((24.86064573 36.08951424, 24.86064573 36.08962196, 24.86076496 36.08962196, 24.86076496 36.08951424, 24.86064573 36.08951424))"
8332,2014-01-19 13:51:00,Desafio Golf Course,35,2014-01-19 12:41:17,2014-01-19 16:02:01,"POLYGON ((24.86064573 36.08951424, 24.86064573 36.08962196, 24.86076496 36.08962196, 24.86076496 36.08951424, 24.86064573 36.08951424))"
2463,2014-01-19 15:15:00,Desafio Golf Course,35,2014-01-19 12:41:17,2014-01-19 16:02:01,"POLYGON ((24.86064573 36.08951424, 24.86064573 36.08962196, 24.86076496 36.08962196, 24.86076496 36.08951424, 24.86064573 36.08951424))"
5010,2014-01-19 15:46:00,Desafio Golf Course,35,2014-01-19 12:41:17,2014-01-19 16:02:01,"POLYGON ((24.86064573 36.08951424, 24.86064573 36.08962196, 24.86076496 36.08962196, 24.86076496 36.08951424, 24.86064573 36.08951424))"
2540,2014-01-19 20:02:00,Albert's Fine Clothing,35,2014-01-19 18:46:19,2014-01-19 20:04:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
9551,2014-01-06 20:26:00,Albert's Fine Clothing,4,2014-01-06 19:57:13,2014-01-06 20:52:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
6895,2014-01-07 20:04:00,Albert's Fine Clothing,4,2014-01-07 19:33:13,2014-01-07 21:25:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
7117,2014-01-07 20:10:00,Albert's Fine Clothing,4,2014-01-07 19:33:13,2014-01-07 21:25:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
8156,2014-01-08 13:21:00,Ouzeri Elian,4,2014-01-08 12:34:05,2014-01-08 13:34:01,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))"
9635,2014-01-08 20:45:00,Albert's Fine Clothing,4,2014-01-08 19:18:01,2014-01-08 21:02:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
8332,2014-01-09 12:59:00,Ouzeri Elian,4,2014-01-09 12:30:05,2014-01-09 13:22:01,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))"
7688,2014-01-09 13:21:00,Ouzeri Elian,4,2014-01-09 12:30:05,2014-01-09 13:22:01,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))"
6895,2014-01-10 20:11:00,Albert's Fine Clothing,4,2014-01-10 19:48:01,2014-01-10 20:11:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
8156,2014-01-11 19:27:00,Albert's Fine Clothing,4,2014-01-11 18:28:13,2014-01-11 19:27:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
1877,2014-01-12 19:58:00,Albert's Fine Clothing,4,2014-01-12 18:43:13,2014-01-12 20:46:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
7117,2014-01-16 20:08:00,Albert's Fine Clothing,4,2014-01-16 19:43:13,2014-01-16 21:14:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
7819,2014-01-16 20:25:00,Albert's Fine Clothing,4,2014-01-16 19:43:13,2014-01-16 21:14:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
1321,2014-01-17 19:44:00,Albert's Fine Clothing,4,2014-01-17 19:12:13,2014-01-17 20:55:01,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))"
